,sample,Area.20.,Perimeter.20.,Ix.20.,Iy.20.,Ixy.20.,Imin.20.,Imax.20.,Theta.20.,Area.80.,Perimeter.80.,Ix.80.,Iy.80.,Ixy.80.,Imin.80.,Imax.80.,Theta.80.
338,ID_190-Tibia_R,695.35364819367,99.3470594654599,41426.1043664743,42755.345192224,13657.6726607722,28416.8905401164,55764.5590185819,-46.3929872826668,385.598126280616,71.2535733804492,10394.3770298113,13877.2062341599,-555.110847799736,10308.040863962,13963.5424000092,81.1596376825203
339,ID_191-Tibia_L,888.353065599036,114.534098286991,79424.5201472067,62533.4788442898,-25380.3427138467,44230.3805529594,97727.6184385371,35.7973533156031,429.562282702027,76.8489551224385,13579.8434728577,17072.8919756376,564.037941868865,13491.02422491,17161.7112235853,-81.0510994634115
340,ID_191-Tibia_R,884.61151693908,114.519088108584,77595.4997284036,61908.5097719598,23084.074208684,45371.7895020461,94132.2199983172,-35.6166463057826,434.32754899973,77.1045307270387,13799.6349209938,17400.811299225,-826.784619256941,13618.8875420083,17581.5586782104,77.6683039298341
341,ID_192-Tibia_L,919.511539410427,114.257523276052,85836.5288248033,62626.235034534,-24574.2824916491,47054.6493365656,101408.114522772,32.3605435074952,518.3197071561,81.655683155049,20059.6891917229,23294.111043459,-2323.72084145181,18845.8138017495,24507.9864334323,62.4181379952048
342,ID_192-Tibia_R,895.351671801084,111.789837851838,79044.8920981714,59998.2557894651,22112.4736965049,45445.5468287053,93597.6010589311,-33.3498006024752,507.44564520159,80.627468651989,20011.1942283942,21500.1780029926,2436.44142934005,18208.037197797,23303.3350335899,-53.4956662234067
343,ID_193-Tibia_L,931.643691564334,114.928970919986,76105.1217489415,76316.0991676673,-27527.6744774794,48682.7338601017,103738.487056507,45.1097809452155,460.939688478828,77.8710255120296,14756.1209629781,20028.5363403539,-917.653138931603,14600.9708707128,20183.6864326192,80.4036007167827
344,ID_193-Tibia_R,923.156443472781,114.456368496948,68885.2353561831,80268.8723148435,24991.8270128274,48945.272488117,100208.83518291,-51.4150565751204,468.36143071618,78.4710581041748,15599.1222556922,20240.6547404046,1311.78844507367,15254.0406261156,20585.7363699813,-75.2615783434218
345,ID_194-Tibia_L,694.602633461629,99.1551335917129,48434.5126763506,36099.7505841103,-14156.6483031905,26825.3933813069,57708.869879154,33.2297621141517,389.966247664191,71.2603275018354,11295.8436883645,13294.4691843294,-385.424087587311,11224.0926214541,13366.2202512398,79.4544570001253
346,ID_194-Tibia_R,729.512883155525,101.588764536819,53921.4292270689,39987.8536751984,16662.7791933225,28894.0671977955,65015.2157044718,-33.6549808438338,403.057703501711,72.2190823575528,12288.3373921391,13859.9620305159,304.518492636581,12231.3967740167,13916.9026486382,-79.4088111627697
347,ID_196-Tibia_L,595.020260010554,91.7797460996843,34523.8510935468,27670.8791439625,-11015.607517108,19561.1432456103,42633.5869918989,36.3606543704614,341.370721987969,66.7964304139098,9053.17542025714,9809.95786859475,-383.398802424741,8892.8881129912,9970.24517586069,67.3116876322696
348,ID_197-Tibia_L,947.743133189819,116.711189636312,90518.204443007,67830.3597284693,-24433.07055459,52236.2140189054,106112.350152571,32.5476187379354,418.744938867989,74.2567095770308,12247.6316820995,16361.8050531669,-338.954875258516,12219.8931856907,16389.5435495757,85.3216040859725
349,ID_197-Tibia_R,950.864574493064,117.617815287338,93443.8281974187,67293.4685975655,26102.8771570135,51174.1194121746,109563.17738281,-31.6966372165522,396.872218406685,72.1290637899306,11330.5272653096,14346.3376311927,1227.1695119639,10894.2814634159,14782.5834330864,-70.4302372622522
350,ID_198-Tibia_L,784.585799328168,104.884727989781,57431.9375764467,49407.9637990196,-17607.0689033665,35361.5755071389,71478.3258683275,38.5818090762075,428.254427441445,74.755705044879,13649.600084791,16015.3832995336,1230.9443852576,13125.3137183158,16539.6696660088,-66.9297753113188
